,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
26,17.081987,6.6644726,-1.5942427,-3.8934462,-7.6376905,9.748066,-7.4302993,-7.606549,2.6004913,0.99796265,0.3253463,-3.9023433,-2.1923277,7.589392,-3.4806802,-4.8715777,0
27,16.734995,6.913509,-1.2514032,-4.818624,-7.185707,9.6259985,-5.358682,-5.6350617,1.9271585,1.7603229,-0.09676401,-2.8170614,-1.9936236,7.545936,-3.8764727,-4.7258954,0
28,17.078997,6.6293864,-0.9758385,-4.2995787,-7.1772704,10.284238,-6.3217015,-6.994059,2.9119325,2.3355994,-0.2793256,-2.2292392,-2.6683278,5.8915486,-2.2383142,-4.91998,0
29,17.842958,6.7730656,-1.0500592,-4.8987365,-6.4131775,9.411139,-6.701906,-5.372367,3.7352452,3.3967977,-1.5653635,-2.911129,-3.0521538,8.765771,-5.3547897,-5.8598223,0
30,13.791305,6.8095813,-1.9773345,-4.9480906,-7.956167,10.817845,-8.775422,-8.107573,2.2318578,1.461789,-0.05059527,-3.5964952,-1.7197307,5.990347,-2.5392342,-4.5355687,0
31,15.81729,7.046484,-1.8804011,-3.8815424,-7.8483915,9.692864,-7.252991,-7.1092706,3.1819887,2.9849658,-0.8039223,-2.502611,-2.9561756,5.7408686,-3.3262787,-5.4579864,0
32,14.332538,9.180801,-2.7318532,-4.6149125,-7.659213,9.60132,-9.157144,-7.629781,3.3065488,3.0453227,-1.0292852,-4.136442,-2.807751,7.2853727,-4.026624,-5.311505,0
33,14.310923,6.9991517,-1.9443986,-2.5294044,-7.265077,8.36385,-6.9707675,-7.016172,3.520064,4.563235,-1.4819646,-3.5331268,-3.0946438,9.57353,-6.7736077,-5.9251595,0
34,13.043193,7.0688705,-1.9492092,-3.2555802,-7.697672,9.550989,-8.200375,-6.997688,2.4317935,2.236576,-0.5316192,-3.8223884,-2.179665,6.148474,-2.7377355,-4.8576283,0
35,14.270321,5.4962707,-2.2796006,-3.3795812,-4.636704,6.1588273,-4.8674674,-3.5836804,3.7847464,3.0509923,-0.82973397,-2.8876305,-2.6385765,7.462603,-4.859392,-6.018749,0
36,7.037355,11.612025,-4.226768,-3.5325654,-3.8366396,4.534693,-7.4918857,-4.278366,4.5748425,18.138628,-4.711812,-2.4388857,-5.9428854,3.746201,-6.4955826,-6.8786826,1
37,4.475874,10.225741,-3.6547627,-3.6789942,-2.396508,2.7394402,-6.73496,-3.2013474,3.077765,18.48388,-4.049793,-2.5306518,-6.304674,4.052701,-6.88404,-7.644069,1
38,5.5448685,10.940622,-2.9377475,-3.3277462,-3.2033083,3.9269626,-6.3587103,-4.6917057,3.5666847,18.790255,-4.80365,-2.027006,-6.9498324,3.9940248,-6.540089,-7.169082,1
39,4.9539757,9.585296,-3.8054907,-4.519041,-3.9020069,4.0423274,-7.967152,-4.1636434,4.5203266,21.897444,-5.77674,-3.1167662,-7.9040346,3.7917502,-8.204982,-7.383129,1
40,4.784403,10.177789,-3.7165835,-3.5548904,-3.6524687,3.9463274,-7.696557,-4.4232273,4.8494015,23.382122,-6.268282,-2.9877126,-8.445967,2.767607,-7.7828765,-7.6233244,1
41,4.8330975,10.565696,-3.287962,-5.3623037,-3.5553982,3.942747,-7.4389386,-4.00078,4.6999383,23.041437,-6.9328094,-2.600804,-9.092602,2.4858887,-7.8808866,-7.6922584,1
42,4.748545,11.610924,-3.096864,-4.8344455,-3.7502785,4.270686,-7.2897325,-4.851103,5.153495,18.855532,-6.5050344,-2.2774847,-7.57686,1.8876905,-5.592661,-7.2360816,1
43,4.2836995,11.624508,-2.6945999,-4.861994,-4.1052275,4.3259387,-7.5600247,-5.8601146,5.07015,23.93476,-7.789749,-1.900531,-9.735456,2.3346255,-6.5045934,-7.943258,1
44,4.3964744,11.089288,-2.8075109,-4.5920424,-3.878443,4.0798273,-7.5353227,-5.5252833,4.0901046,18.027346,-5.719024,-3.06668,-7.0963902,1.9655821,-4.008392,-6.415296,1
45,4.5942073,10.911007,-2.7211297,-4.9731193,-3.8576171,3.900959,-7.2398787,-5.794529,4.1618176,19.93592,-6.223676,-2.7766302,-7.900774,1.6233649,-4.653395,-6.187273,1
46,5.8777857,11.556543,-2.7003381,-5.1608324,-4.311372,5.1327305,-7.500808,-5.5215125,2.1176655,12.27382,-3.8140965,-2.394383,-4.560026,2.9171853,-1.973449,-5.3326807,1
47,3.7986917,10.65988,-2.6416955,-4.621817,-3.343388,4.2514324,-6.89489,-4.868202,2.525446,15.9428835,-4.463686,-2.016226,-6.3355765,1.4142374,-2.7636263,-5.6204343,1
48,4.736956,12.247752,-2.7842464,-4.4754467,-3.6119602,4.454603,-7.6231394,-5.758062,3.1982362,15.647883,-4.917266,-1.8948498,-5.979779,1.1074672,-2.311113,-5.080191,1
49,4.1733985,11.019257,-3.348596,-3.5462406,-3.5371704,3.8273427,-7.4424167,-5.1007657,2.011129,13.784626,-3.8083253,0.17441487,-5.5610933,2.1013472,-1.174481,-6.165223,1
50,4.173446,11.878102,-3.0120127,-4.162554,-3.5438306,4.368582,-7.286058,-4.536479,3.2113507,15.171324,-3.8936763,-0.81273824,-5.7818203,2.6804113,-3.5390885,-6.548064,1
51,3.688261,11.170975,-2.9067297,-4.2601895,-3.5256975,4.0530863,-6.750093,-4.221262,3.127734,18.433445,-5.264492,-1.7003798,-7.574157,2.3101473,-4.9297686,-6.701737,1
52,4.6107254,11.917913,-3.8646498,-4.3149257,-4.154435,4.598726,-8.241172,-4.5675654,3.1585436,17.032818,-4.7787232,-2.7490287,-6.4655085,3.0475278,-4.099034,-5.710235,1
53,7.1033273,10.573527,-3.489375,-4.675466,-4.3975406,5.104098,-6.9875064,-4.452137,3.7287552,19.866806,-5.4013305,-3.3184922,-7.704101,3.837854,-6.227618,-6.731905,1
54,1.0021963,12.050065,0.12341244,-5.9298306,1.99543,2.9544313,-7.2548695,2.1093075,2.1440477,6.8769503,-2.488908,-0.53954184,-1.6801028,-0.5438168,-4.4345217,-1.6174136,1
55,2.053976,11.479326,-0.7249174,-5.2040977,1.3402891,2.898793,-5.997203,1.885997,1.9645326,6.97253,-2.243332,-0.97908014,-1.450931,-0.09996426,-4.6682377,-1.5015502,1
56,0.8196552,10.873457,-0.1374608,-4.9169693,1.9350859,1.1477469,-6.903632,0.2208663,1.9802012,7.628409,-1.7764139,-0.7353154,-1.4143126,-0.09723909,-4.4893622,-2.3419242,1
57,1.2255489,11.27892,-0.23274374,-5.630242,2.0484357,1.8709676,-6.7568655,0.800328,2.5808587,8.204759,-1.559071,-0.6348094,-1.6460928,0.34088764,-4.8468914,-2.7559848,1
58,0.44440186,12.071489,-1.327905,-5.638838,2.4886959,2.4845161,-9.5791,2.7874658,2.5818014,6.950905,-0.3044268,0.31847256,-1.4068407,0.4573711,-4.257763,-3.4583192,1
